ID,ParentID,Name,IsSelectable,HasChildren,Color_R,Color_G,Color_B,
1,,,Self,FALSE,TRUE,100,149,237
2,1,Ethnicity,FALSE,TRUE,100,149,237,
3,1,Sexuality,FALSE,TRUE,100,149,237,
5,1,Cultural identity,FALSE,TRUE,100,149,237,
6,1,Health,FALSE,TRUE,100,149,237,
7,2,Caucasian,TRUE,FALSE,100,149,237,
8,2,African,TRUE,FALSE,100,149,237,
9,2,Asian,TRUE,FALSE,100,149,237,
10,2,Hispanic/Latino,TRUE,FALSE,100,149,237,
11,2,Indigenous,TRUE,FALSE,100,149,237,
12,3,Straight,TRUE,FALSE,100,149,237,
13,3,Gay,TRUE,FALSE,100,149,237,
14,3,Bisexual,TRUE,FALSE,100,149,237,
15,3,Transgender,TRUE,FALSE,100,149,237,
16,3,Asexual,TRUE,FALSE,100,149,237,
20,6,Chronic Condition,FALSE,TRUE,100,149,237,
21,6,Mental Health Focus,FALSE,TRUE,100,149,237,
22,20,Diabetic,TRUE,FALSE,100,149,237,
23,20,Asthmatic,TRUE,FALSE,100,149,237,
24,21,Suffer from Anxiety,TRUE,FALSE,100,149,237,
25,21,Suffer from Depression,TRUE,FALSE,100,149,237,
26,1,Spiritual Beliefs,FALSE,TRUE,100,149,237,
27,26,Agnostic,TRUE,FALSE,100,149,237,
28,26,Atheist,TRUE,FALSE,100,149,237,
29,26,Christian,TRUE,FALSE,100,149,237,
30,26,Muslim,TRUE,FALSE,100,149,237,
31,26,Buddhist,TRUE,FALSE,100,149,237,
38,,,Work/Study,FALSE,TRUE,255,165,0
39,38,Employment Status,FALSE,TRUE,255,165,0,
40,38,Industry,FALSE,TRUE,255,165,0,
41,38,Education Level,FALSE,TRUE,255,165,0,
42,38,Work Environment,FALSE,TRUE,255,165,0,
43,39,Employed,TRUE,TRUE,255,165,0,
44,39,Unemployed,TRUE,TRUE,255,165,0,
45,39,Student,TRUE,TRUE,255,165,0,
46,43,Full-time Employee,TRUE,FALSE,255,165,0,
47,43,Part-time Employee,TRUE,FALSE,255,165,0,
48,43,Contractor/Freelancer,TRUE,FALSE,255,165,0,
49,40,Retail worker,TRUE,FALSE,255,165,0,
50,40,Work in Education,TRUE,TRUE,255,165,0,
51,40,Healthcare worker,TRUE,TRUE,255,165,0,
52,40,Tech worker,TRUE,TRUE,255,165,0,
53,40,Charity/Non-profit worker,TRUE,FALSE,255,165,0,
54,40,Construction worker,TRUE,FALSE,255,165,0,
55,40,Catering worker,TRUE,FALSE,255,165,0,
56,40,Work in Finance,TRUE,FALSE,255,165,0,
57,50,Schoolteacher,TRUE,FALSE,255,165,0,
58,50,University Faculty,TRUE,FALSE,255,165,0,
59,52,Software Engineer,TRUE,FALSE,255,165,0,
60,52,Data Scientist,TRUE,FALSE,255,165,0,
61,42,Remote Worker,TRUE,FALSE,255,165,0,
62,42,Hybrid Worker,TRUE,FALSE,255,165,0,
63,42,Office-based,TRUE,FALSE,255,165,0,
64,45,School Student,TRUE,FALSE,255,165,0,
65,45,Undergraduate Student,TRUE,FALSE,255,165,0,
66,45,Graduate Student,TRUE,FALSE,255,165,0,
67,44,Seeking Employment,TRUE,FALSE,255,165,0,
68,44,Retired,TRUE,FALSE,255,165,0,
69,,,Family,FALSE,TRUE,255,192,203
70,69,Parent Status,FALSE,TRUE,255,192,203,
71,69,Relationship Status,FALSE,TRUE,255,192,203,
72,69,Sibling Status,FALSE,TRUE,255,192,203,
73,69,Caregiving Role,FALSE,TRUE,255,192,203,
74,70,Parent,TRUE,TRUE,255,192,203,
76,70,Grandparent,TRUE,TRUE,255,192,203,
77,74,New Parent,TRUE,FALSE,255,192,203,
78,74,Parent of Teenagers,TRUE,FALSE,255,192,203,
79,74,Empty Nester,TRUE,FALSE,255,192,203,
80,71,Married/Civil Partnership,TRUE,FALSE,255,192,203,
